,date,time,age,confirmed,deceased
0,2020-03-02,0,0s,32,0
1,2020-03-02,0,10s,169,0
2,2020-03-02,0,20s,1235,0
3,2020-03-02,0,30s,506,1
4,2020-03-02,0,40s,633,1
5,2020-03-02,0,50s,834,5
6,2020-03-02,0,60s,530,6
7,2020-03-02,0,70s,192,6
8,2020-03-02,0,80s,81,3
9,2020-03-03,0,0s,34,0
10,2020-03-03,0,10s,204,0
11,2020-03-03,0,20s,1417,0
12,2020-03-03,0,30s,578,1
13,2020-03-03,0,40s,713,1
14,2020-03-03,0,50s,952,5
15,2020-03-03,0,60s,597,7
16,2020-03-03,0,70s,224,9
17,2020-03-03,0,80s,93,5
18,2020-03-04,0,0s,34,0
19,2020-03-04,0,10s,233,0
20,2020-03-04,0,20s,1575,0
21,2020-03-04,0,30s,631,1
22,2020-03-04,0,40s,790,1
23,2020-03-04,0,50s,1051,5
24,2020-03-04,0,60s,646,7
25,2020-03-04,0,70s,260,12
26,2020-03-04,0,80s,108,6
27,2020-03-05,0,0s,38,0
28,2020-03-05,0,10s,257,0
29,2020-03-05,0,20s,1727,0
30,2020-03-05,0,30s,659,1
31,2020-03-05,0,40s,847,1
32,2020-03-05,0,50s,1127,5
33,2020-03-05,0,60s,699,8
34,2020-03-05,0,70s,288,13
35,2020-03-05,0,80s,124,7
36,2020-03-06,0,0s,45,0
37,2020-03-06,0,10s,292,0
38,2020-03-06,0,20s,1877,0
39,2020-03-06,0,30s,693,1
40,2020-03-06,0,40s,889,1
41,2020-03-06,0,50s,1217,5
42,2020-03-06,0,60s,763,11
43,2020-03-06,0,70s,340,14
44,2020-03-06,0,80s,168,10
45,2020-03-07,0,0s,52,0
46,2020-03-07,0,10s,327,0
47,2020-03-07,0,20s,2038,0
48,2020-03-07,0,30s,727,1
49,2020-03-07,0,40s,941,1
50,2020-03-07,0,50s,1287,5
51,2020-03-07,0,60s,830,11
52,2020-03-07,0,70s,384,14
53,2020-03-07,0,80s,191,12
54,2020-03-08,0,0s,58,0
55,2020-03-08,0,10s,360,0
56,2020-03-08,0,20s,2133,0
57,2020-03-08,0,30s,760,1
58,2020-03-08,0,40s,975,1
59,2020-03-08,0,50s,1349,5
60,2020-03-08,0,60s,878,11
61,2020-03-08,0,70s,409,18
62,2020-03-08,0,80s,212,14
63,2020-03-09,0,0s,66,0
64,2020-03-09,0,10s,381,0
65,2020-03-09,0,20s,2190,0
66,2020-03-09,0,30s,779,1
67,2020-03-09,0,40s,1005,1
68,2020-03-09,0,50s,1391,5
69,2020-03-09,0,60s,916,12
70,2020-03-09,0,70s,438,18
71,2020-03-09,0,80s,216,14
72,2020-03-10,0,0s,67,0
73,2020-03-10,0,10s,393,0
74,2020-03-10,0,20s,2213,0
75,2020-03-10,0,30s,789,1
76,2020-03-10,0,40s,1030,1
77,2020-03-10,0,50s,1416,5
78,2020-03-10,0,60s,929,13
79,2020-03-10,0,70s,454,19
80,2020-03-10,0,80s,222,15
81,2020-03-11,0,0s,75,0
82,2020-03-11,0,10s,405,0
83,2020-03-11,0,20s,2238,0
84,2020-03-11,0,30s,804,1
85,2020-03-11,0,40s,1082,1
86,2020-03-11,0,50s,1472,6
