,state,positive,negative,totalTestResults,hospitalizedCumulative,recovered,death,hospitalized,total,date_new,state_full,Lat,Long
2929,IN,71015.0,733330.0,804345.0,9267.0,53301.0,3013.0,9267.0,804345,2020-08-06,Indiana,39.849426,-86.258278
2930,KS,29717.0,279001.0,308718.0,1821.0,1254.0,368.0,1821.0,308718,2020-08-06,Kansas,38.5266,-96.726486
2931,KY,33254.0,599190.0,630336.0,3924.0,8523.0,760.0,3924.0,632444,2020-08-06,Kentucky,37.66814,-84.670067
2932,LA,127246.0,1357726.0,1484972.0,,89083.0,4146.0,,1484972,2020-08-06,Louisiana,31.169546,-91.867805
2933,MA,119874.0,1151344.0,1721559.0,12007.0,99021.0,8691.0,12007.0,1271218,2020-08-06,Massachusetts,42.230171,-71.530106
2934,MD,93005.0,899136.0,992141.0,12978.0,5790.0,3551.0,12978.0,992141,2020-08-06,Maryland,39.063946,-76.802101
2935,ME,3997.0,176919.0,180916.0,390.0,3475.0,124.0,390.0,180916,2020-08-06,Maine,44.693947,-69.381927
2936,MI,94656.0,1911922.0,2006578.0,,60022.0,6506.0,,2006578,2020-08-06,Michigan,43.326618,-84.536095
2937,MN,58640.0,840840.0,1105094.0,5421.0,51604.0,1677.0,5421.0,899480,2020-08-06,Minnesota,45.694454,-93.900192
2938,MO,56383.0,685928.0,742311.0,,,1280.0,,742311,2020-08-06,Missouri,38.456085,-92.288368
2939,MP,47.0,12254.0,12301.0,4.0,29.0,2.0,4.0,12301,2020-08-06,Northern Mariana Islands,15.09,145.67
2940,MS,64400.0,418141.0,482541.0,4511.0,42391.0,1825.0,4511.0,482541,2020-08-06,Mississippi,32.741646,-89.678696
2941,MT,4602.0,181213.0,185815.0,259.0,2964.0,65.0,259.0,185815,2020-08-06,Montana,46.921925,-110.454353
2942,NC,131267.0,1773483.0,1904750.0,,105093.0,2092.0,,1904750,2020-08-06,North Carolina,35.630066,-79.806419
2943,ND,7169.0,156542.0,331004.0,400.0,5949.0,98.0,400.0,163711,2020-08-06,North Dakota,47.528912,-99.784012
2944,NE,27489.0,262692.0,290181.0,1681.0,19885.0,335.0,1681.0,290181,2020-08-06,Nebraska,41.12537,-98.268082
2945,NH,6719.0,160688.0,251509.0,698.0,5923.0,418.0,698.0,167407,2020-08-06,New Hampshire,43.452492,-71.563896
2946,NJ,183701.0,2046544.0,2230245.0,21565.0,32811.0,15781.0,21565.0,2230245,2020-08-06,New Jersey,40.298904,-74.521011
2947,NM,21566.0,575842.0,597408.0,2781.0,8828.0,667.0,2781.0,597408,2020-08-06,New Mexico,34.840515,-106.248482
2948,NV,53557.0,446638.0,500195.0,,1251.0,900.0,,500195,2020-08-06,Nevada,38.313515,-117.055374
2949,NY,418928.0,5879877.0,6298805.0,89995.0,73472.0,25185.0,89995.0,6298805,2020-08-06,New York,42.165726,-74.948051
2950,OH,97471.0,1500568.0,1598039.0,11366.0,74612.0,3618.0,11366.0,1598039,2020-08-06,Ohio,40.388783,-82.764915
2951,OK,41401.0,633252.0,674653.0,3497.0,34320.0,593.0,3497.0,674653,2020-08-06,Oklahoma,35.565342,-96.928917
2952,OR,20225.0,412037.0,432262.0,1743.0,4065.0,339.0,1743.0,432262,2020-08-06,Oregon,44.572021,-122.070938
2953,PA,116521.0,1183730.0,1300251.0,,88555.0,7282.0,,1300251,2020-08-06,Pennsylvania,40.590752,-77.209755
2954,PR,19934.0,305972.0,325906.0,,,258.0,,325906,2020-08-06,Puerto Rico,18.22,-66.3
2955,RI,19611.0,196112.0,389969.0,2264.0,1866.0,1014.0,2264.0,215723,2020-08-06,Rhode Island,41.680893,-71.51178
2956,SC,96797.0,659348.0,756145.0,5799.0,32859.0,1943.0,5799.0,756145,2020-08-06,South Carolina,33.856892,-80.945007
2957,SD,9273.0,108301.0,117574.0,861.0,8145.0,141.0,861.0,117574,2020-08-06,South Dakota,44.299782,-99.438828
2958,TN,116350.0,1518841.0,1635191.0,5109.0,77558.0,1186.0,5109.0,1635191,2020-08-06,Tennessee,35.747845,-86.692345
2959,TX,467485.0,3476995.0,3944480.0,,323804.0,7803.0,,3944480,2020-08-06,Texas,31.054487,-97.563461
2960,UT,42915.0,512476.0,555391.0,2554.0,31619.0,330.0,2554.0,555391,2020-08-06,Utah,40.150032,-111.862434
2961,VA,95867.0,1099060.0,1191304.0,13984.0,12635.0,2299.0,13984.0,1195401,2020-08-06,Virginia,37.769337,-78.169968
2962,VI,501.0,9874.0,10375.0,,384.0,9.0,,10387,2020-08-06,Virgin Islands,18.04,-64.84
2963,VT,1445.0,98607.0,100052.0,,1258.0,58.0,,100052,2020-08-06,Vermont,44.045876,-72.710686
2964,WA,63698.0,1109952.0,1173650.0,5840.0,,1624.0,5840.0,1173650,2020-08-06,Washington,47.400902,-121.490494
2965,WI,61985.0,961851.0,1023836.0,4881.0,47221.0,985.0,4881.0,1023928,2020-08-06,Wisconsin,44.268543,-89.616508
2966,WV,7277.0,300132.0,307409.0,,5330.0,124.0,,307409,2020-08-06,West Virginia,38.491226,-80.954453
2967,WY,2958.0,53150.0,56108.0,171.0,2366.0,27.0,171.0,56108,2020-08-06,Wyoming,42.755966,-107.30249
2968,AK,4183.0,253096.0,257279.0,,1017.0,25.0,,257279,2020-08-05,Alaska,61.370716,-152.404419
2969,AL,94654.0,632806.0,724582.0,11100.0,37923.0,1695.0,11100.0,727460,2020-08-05,Alabama,32.806671,-86.79113
2970,AR,46293.0,488518.0,533899.0,3118.0,38848.0,508.0,3118.0,534811,2020-08-05,Arkansas,34.969704,-92.373123
2971,AS,0.0,1396.0,1396.0,,,0.0,,1396,2020-08-05,American Samoa,-14.2,-170.69
2972,AZ,182203.0,803339.0,984332.0,13559.0,24222.0,3932.0,13559.0,985542,2020-08-05,Arizona,33.729759,-111.431221
2973,CA,524722.0,7884678.0,8409400.0,,,9703.0,,8409400,2020-08-05,California,36.116203,-119.681564
2974,CO,48394.0,507028.0,727026.0,6516.0,5449.0,1710.0,6516.0,555422,2020-08-05,Colorado,39.059811,-105.311104
2975,CT,50225.0,797884.0,848109.0,10807.0,8613.0,4437.0,10807.0,848109,2020-08-05,Connecticut,41.597782,-72.755371
2976,DC,12443.0,190382.0,202825.0,,10015.0,587.0,,202825,2020-08-05,District of Columbia,38.897438,-77.026817
2977,DE,15296.0,175404.0,190700.0,,8339.0,587.0,,190700,2020-08-05,Delaware,39.318523,-75.507141
2978,FL,502739.0,3312145.0,3814884.0,28956.0,,7751.0,28956.0,3818161,2020-08-05,Florida,27.766279,-81.686783
2979,GA,201713.0,1493511.0,1695224.0,19788.0,,3984.0,19788.0,1695224,2020-08-05,Georgia,33.040619,-83.643074
2980,GU,389.0,23046.0,23435.0,,319.0,5.0,,23435,2020-08-05,Guam,13.45,144.78
2981,HI,2591.0,129935.0,132526.0,208.0,1354.0,27.0,208.0,132526,2020-08-05,Hawaii,21.094318,-157.498337
2982,IA,46659.0,449769.0,496428.0,,34733.0,899.0,,496428,2020-08-05,Iowa,42.011539,-93.210526
2983,ID,22234.0,169653.0,190520.0,906.0,7875.0,210.0,906.0,191887,2020-08-05,Idaho,44.240459,-114.478828
2984,IL,187752.0,2709592.0,2897344.0,,,7770.0,,2897344,2020-08-05,Illinois,40.349457,-88.986137
2985,IN,69975.0,722250.0,792225.0,9148.0,51709.0,3007.0,9148.0,792225,2020-08-05,Indiana,39.849426,-86.258278
2986,KS,29717.0,279001.0,308718.0,1821.0,1254.0,368.0,1821.0,308718,2020-08-05,Kansas,38.5266,-96.726486
2987,KY,32741.0,588081.0,618793.0,3903.0,8467.0,752.0,3903.0,620822,2020-08-05,Kentucky,37.66814,-84.670067
2988,LA,125943.0,1343924.0,1469867.0,,89083.0,4096.0,,1469867,2020-08-05,Louisiana,31.169546,-91.867805
2989,MA,119643.0,1139951.0,1698416.0,11993.0,99021.0,8659.0,11993.0,1259594,2020-08-05,Massachusetts,42.230171,-71.530106
2990,MD,92426.0,889969.0,982395.0,12922.0,5749.0,3536.0,12922.0,982395,2020-08-05,Maryland,39.063946,-76.802101
2991,ME,3992.0,174253.0,178245.0,390.0,3456.0,124.0,390.0,178245,2020-08-05,Maine,44.693947,-69.381927
2992,MI,93893.0,1886579.0,1980472.0,,60022.0,6478.0,,1980472,2020-08-05,Michigan,43.326618,-84.536095
2993,MN,57779.0,829844.0,1090303.0,5373.0,51223.0,1670.0,5373.0,887623,2020-08-05,Minnesota,45.694454,-93.900192
2994,MO,55321.0,675253.0,730574.0,,,1272.0,,730574,2020-08-05,Missouri,38.456085,-92.288368
2995,MP,46.0,12255.0,12301.0,4.0,29.0,2.0,4.0,12301,2020-08-05,Northern Mariana Islands,15.09,145.67
2996,MS,63444.0,414378.0,477822.0,4472.0,42391.0,1804.0,4472.0,477822,2020-08-05,Mississippi,32.741646,-89.678696
2997,MT,4429.0,178695.0,183124.0,248.0,2820.0,65.0,248.0,183124,2020-08-05,Montana,46.921925,-110.454353
2998,NC,129288.0,1744380.0,1873668.0,,105093.0,2050.0,,1873668,2020-08-05,North Carolina,35.630066,-79.806419
2999,ND,7047.0,154957.0,325826.0,394.0,5837.0,96.0,394.0,162004,2020-08-05,North Dakota,47.528912,-99.784012
3000,NE,27178.0,259927.0,287105.0,1644.0,19764.0,332.0,1644.0,287105,2020-08-05,Nebraska,41.12537,-98.268082
3001,NH,6693.0,159283.0,249006.0,698.0,5915.0,418.0,698.0,165976,2020-08-05,New Hampshire,43.452492,-71.563896
3002,NJ,183327.0,2003691.0,2187018.0,21565.0,32749.0,15774.0,21565.0,2187018,2020-08-05,New Jersey,40.298904,-74.521011
3003,NM,21340.0,569485.0,590825.0,2753.0,8685.0,658.0,2753.0,590825,2020-08-05,New Mexico,34.840515,-106.248482
3004,NV,52828.0,438289.0,491117.0,,1234.0,890.0,,491117,2020-08-05,Nevada,38.313515,-117.055374
3005,NY,418225.0,5808210.0,6226435.0,89995.0,73410.0,25179.0,89995.0,6226435,2020-08-05,New York,42.165726,-74.948051
3006,OH,96305.0,1478308.0,1574613.0,11231.0,72950.0,3596.0,11231.0,1574613,2020-08-05,Ohio,40.388783,-82.764915
3007,OK,40564.0,624166.0,664730.0,3445.0,33383.0,583.0,3445.0,664730,2020-08-05,Oklahoma,35.565342,-96.928917
3008,OR,19979.0,406823.0,426802.0,1726.0,4037.0,338.0,1726.0,426802,2020-08-05,Oregon,44.572021,-122.070938
3009,PA,115714.0,1169011.0,1284725.0,,87942.0,7244.0,,1284725,2020-08-05,Pennsylvania,40.590752,-77.209755
3010,PR,19651.0,305972.0,325623.0,,,246.0,,325623,2020-08-05,Puerto Rico,18.22,-66.3
3011,RI,19481.0,194054.0,384487.0,2248.0,1855.0,1012.0,2248.0,213535,2020-08-05,Rhode Island,41.680893,-71.51178
3012,SC,95472.0,653150.0,748622.0,5799.0,32859.0,1894.0,5799.0,748622,2020-08-05,South Carolina,33.856892,-80.945007
3013,SD,9168.0,107206.0,116374.0,856.0,8080.0,137.0,856.0,116374,2020-08-05,South Dakota,44.299782,-99.438828
3014,TN,114098.0,1497947.0,1612045.0,5001.0,75550.0,1144.0,5001.0,1612045,2020-08-05,Tennessee,35.747845,-86.692345
3015,TX,459887.0,3448348.0,3908235.0,,315652.0,7497.0,,3908235,2020-08-05,Texas,31.054487,-97.563461
3016,UT,42328.0,507994.0,550322.0,2519.0,30911.0,327.0,2519.0,550322,2020-08-05,Utah,40.150032,-111.862434
3017,VA,95049.0,1084707.0,1176180.0,13826.0,12522.0,2274.0,13826.0,1180179,2020-08-05,Virginia,37.769337,-78.169968
3018,VI,481.0,9622.0,10103.0,,374.0,8.0,,10129,2020-08-05,Virgin Islands,18.04,-64.84
3019,VT,1436.0,97554.0,98990.0,,1254.0,57.0,,98990,2020-08-05,Vermont,44.045876,-72.710686
3020,WA,62992.0,1096069.0,1159061.0,5779.0,,1619.0,5779.0,1159061,2020-08-05,Washington,47.400902,-121.490494
3021,WI,61110.0,944984.0,1006094.0,4826.0,46323.0,977.0,4826.0,1006210,2020-08-05,Wisconsin,44.268543,-89.616508
3022,WV,7159.0,295435.0,302594.0,,5218.0,124.0,,302594,2020-08-05,West Virginia,38.491226,-80.954453
3023,WY,2923.0,52791.0,55714.0,169.0,2323.0,27.0,169.0,55714,2020-08-05,Wyoming,42.755966,-107.30249
3024,AK,4125.0,248524.0,252649.0,,987.0,25.0,,252649,2020-08-04,Alaska,61.370716,-152.404419
3025,AL,93702.0,628599.0,719489.0,11100.0,35401.0,1666.0,11100.0,722301,2020-08-04,Alabama,32.806671,-86.79113
3026,AR,45381.0,488518.0,533899.0,3054.0,38000.0,490.0,3054.0,533899,2020-08-04,Arkansas,34.969704,-92.373123
3027,AS,0.0,1267.0,1267.0,,,0.0,,1267,2020-08-04,American Samoa,-14.2,-170.69
3028,AZ,180505.0,790739.0,971244.0,13294.0,23944.0,3845.0,13294.0,971244,2020-08-04,Arizona,33.729759,-111.431221
3029,CA,519427.0,7786286.0,8305713.0,,,9501.0,,8305713,2020-08-04,California,36.116203,-119.681564
3030,CO,47968.0,504035.0,721921.0,6487.0,5424.0,1710.0,6487.0,552003,2020-08-04,Colorado,39.059811,-105.311104
3031,CT,50110.0,786161.0,836271.0,10807.0,8613.0,4437.0,10807.0,836271,2020-08-04,Connecticut,41.597782,-72.755371
3032,DC,12398.0,187729.0,200127.0,,9959.0,587.0,,200127,2020-08-04,District of Columbia,38.897438,-77.026817
3033,DE,15137.0,174171.0,189308.0,,8303.0,587.0,,189308,2020-08-04,Delaware,39.318523,-75.507141
3034,FL,497330.0,3287128.0,3784458.0,28333.0,,7526.0,28333.0,3787738,2020-08-04,Florida,27.766279,-81.686783
3035,GA,197948.0,1466464.0,1664412.0,19426.0,,3921.0,19426.0,1664412,2020-08-04,Georgia,33.040619,-83.643074
3036,GU,375.0,22548.0,22923.0,,318.0,5.0,,22923,2020-08-04,Guam,13.45,144.78
3037,HI,2448.0,128264.0,130712.0,201.0,1315.0,26.0,201.0,130712,2020-08-04,Hawaii,21.094318,-157.498337
3038,IA,46042.0,444329.0,490371.0,,34023.0,888.0,,490371,2020-08-04,Iowa,42.011539,-93.210526
3039,ID,21675.0,166103.0,186475.0,886.0,7617.0,200.0,886.0,187778,2020-08-04,Idaho,44.240459,-114.478828
3040,IL,185993.0,2664683.0,2850676.0,,,7742.0,,2850676,2020-08-04,Illinois,40.349457,-88.986137
3041,IN,69255.0,715763.0,785018.0,9148.0,43535.0,2996.0,9148.0,785018,2020-08-04,Indiana,39.849426,-86.258278
3042,KS,28876.0,272963.0,301839.0,1782.0,1196.0,365.0,1782.0,301839,2020-08-04,Kansas,38.5266,-96.726486
3043,KY,32197.0,575658.0,605896.0,3851.0,8406.0,751.0,3851.0,607855,2020-08-04,Kentucky,37.66814,-84.670067
3044,LA,124461.0,1325396.0,1449857.0,,74246.0,4051.0,,1449857,2020-08-04,Louisiana,31.169546,-91.867805
3045,MA,119203.0,1123073.0,1673078.0,11973.0,97595.0,8657.0,11973.0,1242276,2020-08-04,Massachusetts,42.230171,-71.530106
3046,MD,91854.0,880492.0,972346.0,12888.0,5740.0,3530.0,12888.0,972346,2020-08-04,Maryland,39.063946,-76.802101
3047,ME,3975.0,171786.0,175761.0,388.0,3424.0,123.0,388.0,175761,2020-08-04,Maine,44.693947,-69.381927
3048,MI,93175.0,1861240.0,1954415.0,,60022.0,6471.0,,1954415,2020-08-04,Michigan,43.326618,-84.536095
3049,MN,57162.0,820949.0,1078695.0,5346.0,50426.0,1660.0,5346.0,878111,2020-08-04,Minnesota,45.694454,-93.900192
3050,MO,54080.0,667443.0,721523.0,,,1266.0,,721523,2020-08-04,Missouri,38.456085,-92.288368
3051,MP,46.0,12255.0,12301.0,4.0,29.0,2.0,4.0,12301,2020-08-04,Northern Mariana Islands,15.09,145.67
3052,MS,62199.0,401592.0,463791.0,4424.0,42391.0,1753.0,4424.0,463791,2020-08-04,Mississippi,32.741646,-89.678696
3053,MT,4314.0,176922.0,181236.0,238.0,2766.0,64.0,238.0,181236,2020-08-04,Montana,46.921925,-110.454353
3054,NC,128161.0,1725865.0,1854026.0,,105093.0,2010.0,,1854026,2020-08-04,North Carolina,35.630066,-79.806419
3055,ND,6925.0,153537.0,320395.0,389.0,5715.0,96.0,389.0,160462,2020-08-04,North Dakota,47.528912,-99.784012
3056,NE,26956.0,256903.0,283859.0,1644.0,19677.0,332.0,1644.0,283859,2020-08-04,Nebraska,41.12537,-98.268082
3057,NH,6660.0,158176.0,246591.0,697.0,5848.0,417.0,697.0,164836,2020-08-04,New Hampshire,43.452492,-71.563896
3058,NJ,182970.0,1981966.0,2164936.0,21565.0,32697.0,15767.0,21565.0,2164936,2020-08-04,New Jersey,40.298904,-74.521011
3059,NM,21130.0,556680.0,577810.0,2730.0,8463.0,655.0,2730.0,577810,2020-08-04,New Mexico,34.840515,-106.248482
3060,NV,52179.0,436908.0,489087.0,,1209.0,862.0,,489087,2020-08-04,Nevada,38.313515,-117.055374
3061,NY,417589.0,5736178.0,6153767.0,89995.0,73326.0,25175.0,89995.0,6153767,2020-08-04,New York,42.165726,-74.948051
3062,OH,95106.0,1460706.0,1555812.0,11119.0,71338.0,3570.0,11119.0,1555812,2020-08-04,Ohio,40.388783,-82.764915
3063,OK,39463.0,617813.0,657276.0,3375.0,32319.0,566.0,3375.0,657276,2020-08-04,Oklahoma,35.565342,-96.928917
3064,OR,19699.0,400215.0,419914.0,1688.0,3960.0,333.0,1688.0,419914,2020-08-04,Oregon,44.572021,-122.070938
3065,PA,115009.0,1156520.0,1271529.0,,86256.0,7232.0,,1271529,2020-08-04,Pennsylvania,40.590752,-77.209755
3066,PR,19324.0,305972.0,325296.0,,,237.0,,325296,2020-08-04,Puerto Rico,18.22,-66.3
3067,RI,19390.0,192563.0,380973.0,2242.0,1848.0,1011.0,2242.0,211953,2020-08-04,Rhode Island,41.680893,-71.51178
3068,SC,94190.0,646267.0,740457.0,5799.0,32859.0,1847.0,5799.0,740457,2020-08-04,South Carolina,33.856892,-80.945007
3069,SD,9079.0,106302.0,115381.0,846.0,8008.0,136.0,846.0,115381,2020-08-04,South Dakota,44.299782,-99.438828
3070,TN,112441.0,1480209.0,1592650.0,4900.0,73259.0,1117.0,4900.0,1592650,2020-08-04,Tennessee,35.747845,-86.692345
3071,TX,451181.0,3433667.0,3884848.0,,306262.0,7261.0,,3884848,2020-08-04,Texas,31.054487,-97.563461
3072,UT,41907.0,503049.0,544956.0,2482.0,30449.0,321.0,2482.0,544956,2020-08-04,Utah,40.150032,-111.862434
3073,VA,94251.0,1073787.0,1164515.0,13640.0,12385.0,2244.0,13640.0,1168413,2020-08-04,Virginia,37.769337,-78.169968
3074,VI,463.0,9312.0,9775.0,,364.0,8.0,,9801,2020-08-04,Virgin Islands,18.04,-64.84
3075,VT,1431.0,97370.0,98801.0,,1249.0,57.0,,98801,2020-08-04,Vermont,44.045876,-72.710686
3076,WA,62267.0,1081726.0,1143993.0,5744.0,,1600.0,5744.0,1143993,2020-08-04,Washington,47.400902,-121.490494
3077,WI,60171.0,928845.0,989016.0,4783.0,45368.0,968.0,4783.0,989124,2020-08-04,Wisconsin,44.268543,-89.616508
3078,WV,7051.0,291388.0,298439.0,,5063.0,124.0,,298439,2020-08-04,West Virginia,38.491226,-80.954453
3079,WY,2884.0,52359.0,55243.0,169.0,2284.0,27.0,169.0,55243,2020-08-04,Wyoming,42.755966,-107.30249
3080,AK,4064.0,241743.0,245807.0,,946.0,25.0,,245807,2020-08-03,Alaska,61.370716,-152.404419
3081,AL,92661.0,621390.0,711317.0,10865.0,35401.0,1633.0,10865.0,714051,2020-08-03,Alabama,32.806671,-86.79113
3082,AR,44597.0,482803.0,527400.0,2966.0,37240.0,475.0,2966.0,527400,2020-08-03,Arkansas,34.969704,-92.373123
3083,AS,0.0,1267.0,1267.0,,,0.0,,1267,2020-08-03,American Samoa,-14.2,-170.69
3084,AZ,179497.0,784921.0,964418.0,11400.0,23702.0,3779.0,11400.0,964418,2020-08-03,Arizona,33.729759,-111.431221
3085,CA,514901.0,7669795.0,8184696.0,,,9388.0,,8184696,2020-08-03,California,36.116203,-119.681564
3086,CO,47716.0,499496.0,714560.0,6474.0,5393.0,1691.0,6474.0,547212,2020-08-03,Colorado,39.059811,-105.311104
3087,CT,50062.0,779120.0,829182.0,10807.0,8613.0,4437.0,10807.0,829182,2020-08-03,Connecticut,41.597782,-72.755371
3088,DC,12313.0,186502.0,198815.0,,9893.0,586.0,,198815,2020-08-03,District of Columbia,38.897438,-77.026817
3089,DE,15055.0,172604.0,187659.0,,8267.0,585.0,,187659,2020-08-03,Delaware,39.318523,-75.507141
3090,FL,491884.0,3260914.0,3752798.0,27744.0,,7279.0,27744.0,3756026,2020-08-03,Florida,27.766279,-81.686783
3091,GA,195435.0,1450966.0,1646401.0,19124.0,,3842.0,19124.0,1646401,2020-08-03,Georgia,33.040619,-83.643074
3092,GU,368.0,22205.0,22573.0,,305.0,5.0,,22573,2020-08-03,Guam,13.45,144.78
3093,HI,2242.0,125037.0,127279.0,199.0,1294.0,26.0,199.0,127279,2020-08-03,Hawaii,21.094318,-157.498337
3094,IA,45841.0,440634.0,486475.0,,33219.0,882.0,,486475,2020-08-03,Iowa,42.011539,-93.210526
3095,ID,21344.0,163993.0,184060.0,874.0,7370.0,197.0,874.0,185337,2020-08-03,Idaho,44.240459,-114.478828
3096,IL,184522.0,2623556.0,2808078.0,,,7723.0,,2808078,2020-08-03,Illinois,40.349457,-88.986137
3097,IN,68433.0,707049.0,775482.0,9004.0,47355.0,2980.0,9004.0,775482,2020-08-03,Indiana,39.849426,-86.258278
3098,KS,28876.0,272963.0,301839.0,1782.0,1196.0,365.0,1782.0,301839,2020-08-03,Kansas,38.5266,-96.726486
3099,KY,31508.0,568785.0,598408.0,3815.0,8335.0,744.0,3815.0,600293,2020-08-03,Kentucky,37.66814,-84.670067
3100,LA,120846.0,1273064.0,1393910.0,,74246.0,4024.0,,1393910,2020-08-03,Louisiana,31.169546,-91.867805
3101,MA,118657.0,1108195.0,1648689.0,11942.0,97595.0,8648.0,11942.0,1226852,2020-08-03,Massachusetts,42.230171,-71.530106
3102,MD,91144.0,869493.0,960637.0,12832.0,5740.0,3523.0,12832.0,960637,2020-08-03,Maryland,39.063946,-76.802101
3103,ME,3970.0,170175.0,174145.0,389.0,3396.0,124.0,389.0,174145,2020-08-03,Maine,44.693947,-69.381927
3104,MI,92374.0,1834449.0,1926823.0,,60022.0,6463.0,,1926823,2020-08-03,Michigan,43.326618,-84.536095
3105,MN,56560.0,815444.0,1070925.0,5298.0,49565.0,1656.0,5298.0,872004,2020-08-03,Minnesota,45.694454,-93.900192
3106,MO,52887.0,660061.0,712948.0,,,1255.0,,712948,2020-08-03,Missouri,38.456085,-92.288368
3107,MP,46.0,12255.0,12301.0,4.0,29.0,2.0,4.0,12301,2020-08-03,Northern Mariana Islands,15.09,145.67
3108,MS,61125.0,401592.0,462717.0,4380.0,42391.0,1711.0,4380.0,462717,2020-08-03,Mississippi,32.741646,-89.678696
3109,MT,4233.0,175275.0,179508.0,236.0,2653.0,64.0,236.0,179508,2020-08-03,Montana,46.921925,-110.454353
3110,NC,126532.0,1710878.0,1837410.0,,105093.0,1982.0,,1837410,2020-08-03,North Carolina,35.630066,-79.806419
3111,ND,6776.0,151966.0,315710.0,379.0,5590.0,95.0,379.0,158742,2020-08-03,North Dakota,47.528912,-99.784012
3112,NE,26702.0,254404.0,281106.0,1630.0,19575.0,332.0,1630.0,281106,2020-08-03,Nebraska,41.12537,-98.268082
3113,NH,6634.0,155988.0,243785.0,696.0,5820.0,417.0,696.0,162622,2020-08-03,New Hampshire,43.452492,-71.563896
3114,NJ,182614.0,1981966.0,2164580.0,21565.0,32660.0,15756.0,21565.0,2164580,2020-08-03,New Jersey,40.298904,-74.521011
3115,NM,21016.0,553237.0,574253.0,2720.0,8343.0,654.0,2720.0,574253,2020-08-03,New Mexico,34.840515,-106.248482
3116,NV,51199.0,433667.0,484866.0,,1158.0,847.0,,484866,2020-08-03,Nevada,38.313515,-117.055374
3117,NY,416843.0,5665931.0,6082774.0,89995.0,73279.0,25172.0,89995.0,6082774,2020-08-03,New York,42.165726,-74.948051
3118,OH,93963.0,1441580.0,1535543.0,10992.0,69501.0,3539.0,10992.0,1535543,2020-08-03,Ohio,40.388783,-82.764915
3119,OK,38602.0,599461.0,638063.0,3275.0,31165.0,551.0,3275.0,638063,2020-08-03,Oklahoma,35.565342,-96.928917
3120,OR,19366.0,397765.0,417131.0,1655.0,3960.0,328.0,1655.0,417131,2020-08-03,Oregon,44.572021,-122.070938
3121,PA,114155.0,1142414.0,1256569.0,,86757.0,7209.0,,1256569,2020-08-03,Pennsylvania,40.590752,-77.209755
3122,PR,18791.0,305972.0,324763.0,,,230.0,,324763,2020-08-03,Puerto Rico,18.22,-66.3
3123,RI,19246.0,190820.0,376009.0,2231.0,1838.0,1010.0,2231.0,210066,2020-08-03,Rhode Island,41.680893,-71.51178
3124,SC,92951.0,638724.0,731675.0,5527.0,32859.0,1793.0,5527.0,731675,2020-08-03,South Carolina,33.856892,-80.945007
3125,SD,9020.0,105628.0,114648.0,838.0,7939.0,135.0,838.0,114648,2020-08-03,South Dakota,44.299782,-99.438828
3126,TN,110636.0,1463897.0,1574533.0,4808.0,70878.0,1092.0,4808.0,1574533,2020-08-03,Tennessee,35.747845,-86.692345
3127,TX,442014.0,3392572.0,3834586.0,,297422.0,7016.0,,3834586,2020-08-03,Texas,31.054487,-97.563461
3128,UT,41529.0,498653.0,540182.0,2450.0,29967.0,314.0,2450.0,540182,2020-08-03,Utah,40.150032,-111.862434
3129,VA,93106.0,1062002.0,1151604.0,13460.0,12255.0,2218.0,13460.0,1155430,2020-08-03,Virginia,37.769337,-78.169968
3130,VI,439.0,8997.0,9436.0,,354.0,8.0,,9443,2020-08-03,Virgin Islands,18.04,-64.84
3131,VT,1427.0,95811.0,97238.0,,1240.0,57.0,,97238,2020-08-03,Vermont,44.045876,-72.710686
3132,WA,61428.0,1066191.0,1127619.0,5692.0,,1596.0,5692.0,1127619,2020-08-03,Washington,47.400902,-121.490494
3133,WI,59401.0,911435.0,970836.0,4732.0,44495.0,956.0,4732.0,970941,2020-08-03,Wisconsin,44.268543,-89.616508
3134,WV,6973.0,288073.0,295046.0,,4918.0,117.0,,295046,2020-08-03,West Virginia,38.491226,-80.954453
3135,WY,2848.0,52032.0,54880.0,167.0,2214.0,27.0,167.0,54880,2020-08-03,Wyoming,42.755966,-107.30249
3136,AK,3984.0,239106.0,243090.0,,932.0,24.0,,243090,2020-08-02,Alaska,61.370716,-152.404419
3137,AL,91444.0,614626.0,703437.0,10521.0,35401.0,1627.0,10521.0,706070,2020-08-02,Alabama,32.806671,-86.79113
3138,AR,43173.0,471408.0,514581.0,2894.0,36034.0,458.0,2894.0,514581,2020-08-02,Arkansas,34.969704,-92.373123
3139,AS,0.0,1267.0,1267.0,,,0.0,,1267,2020-08-02,American Samoa,-14.2,-170.69
3140,AZ,178467.0,777961.0,956428.0,11371.0,23413.0,3765.0,11371.0,956428,2020-08-02,Arizona,33.729759,-111.431221
3141,CA,509162.0,7526813.0,8035975.0,,,9356.0,,8035975,2020-08-02,California,36.116203,-119.681564
3142,CO,47267.0,493305.0,703954.0,6465.0,5359.0,1691.0,6465.0,540572,2020-08-02,Colorado,39.059811,-105.311104
3143,CT,49810.0,744186.0,793996.0,10807.0,8613.0,4432.0,10807.0,793996,2020-08-02,Connecticut,41.597782,-72.755371
3144,DC,12274.0,184918.0,197192.0,,9870.0,586.0,,197192,2020-08-02,District of Columbia,38.897438,-77.026817
3145,DE,14949.0,169962.0,184911.0,,8235.0,585.0,,184911,2020-08-02,Delaware,39.318523,-75.507141
