,state,positive,negative,totalTestResults,hospitalizedCumulative,recovered,death,hospitalized,total,date_new,state_full,Lat,Long
43,RI,24181.0,305853.0,727469.0,2725.0,2278.0,1107.0,2725.0,330034,2020-09-27,Rhode Island,41.680893,-71.51178
44,SC,145887.0,1106651.0,1252538.0,9043.0,70028.0,3326.0,9043.0,1252538,2020-09-27,South Carolina,33.856892,-80.945007
45,SD,21541.0,165963.0,187504.0,1473.0,17533.0,218.0,1473.0,187504,2020-09-27,South Dakota,44.299782,-99.438828
46,TN,192995.0,2639541.0,2832536.0,8577.0,175143.0,2377.0,8577.0,2832536,2020-09-27,Tennessee,35.747845,-86.692345
47,TX,735132.0,5281775.0,6016907.0,,652376.0,15522.0,,6016907,2020-09-27,Texas,31.054487,-97.563461
48,UT,70615.0,740634.0,811249.0,3729.0,54201.0,453.0,3729.0,811249,2020-09-27,Utah,40.150032,-111.862434
49,VA,146144.0,1864395.0,2003129.0,18311.0,17443.0,3159.0,18311.0,2010804,2020-09-27,Virginia,37.769337,-78.169968
50,VI,1317.0,18843.0,20160.0,,1217.0,19.0,,20167,2020-09-27,Virgin Islands,18.04,-64.84
51,VT,1742.0,159248.0,160990.0,,1584.0,58.0,,160990,2020-09-27,Vermont,44.045876,-72.710686
52,WA,85830.0,1734793.0,1820623.0,7431.0,,2100.0,7431.0,1820623,2020-09-27,Washington,47.400902,-121.490494
53,WI,122478.0,1399218.0,1521696.0,7095.0,95513.0,1291.0,7095.0,1521906,2020-09-27,Wisconsin,44.268543,-89.616508
54,WV,15348.0,534375.0,549723.0,,11160.0,334.0,,549723,2020-09-27,West Virginia,38.491226,-80.954453
55,WY,5633.0,92406.0,98039.0,262.0,4519.0,50.0,262.0,98039,2020-09-27,Wyoming,42.755966,-107.30249
56,AK,8315.0,434554.0,442869.0,,3267.0,52.0,,442869,2020-09-26,Alaska,61.370716,-152.404419
57,AL,151591.0,970048.0,1104932.0,16852.0,64583.0,2501.0,16852.0,1121639,2020-09-26,Alabama,32.806671,-86.79113
58,AR,80755.0,855635.0,933895.0,5202.0,72051.0,1285.0,5202.0,936390,2020-09-26,Arkansas,34.969704,-92.373123
59,AS,0.0,1571.0,1571.0,,,0.0,,1571,2020-09-26,American Samoa,-14.2,-170.69
60,AZ,216826.0,1221851.0,1434227.0,22005.0,34730.0,5622.0,22005.0,1438677,2020-09-26,Arizona,33.729759,-111.431221
61,CA,798237.0,13384493.0,14182730.0,,,15532.0,,14182730,2020-09-26,California,36.116203,-119.681564
62,CO,67926.0,804806.0,1277613.0,7479.0,6404.0,1940.0,7479.0,872732,2020-09-26,Colorado,39.059811,-105.311104
63,CT,56587.0,1462564.0,1519151.0,11560.0,9310.0,4501.0,11560.0,1519151,2020-09-26,Connecticut,41.597782,-72.755371
64,DC,15215.0,362764.0,377979.0,,12029.0,624.0,,377979,2020-09-26,District of Columbia,38.897438,-77.026817
65,DE,20156.0,260243.0,280399.0,,10541.0,633.0,,280399,2020-09-26,Delaware,39.318523,-75.507141
66,FL,698682.0,4536325.0,5235007.0,43964.0,,14190.0,43964.0,5239008,2020-09-26,Florida,27.766279,-81.686783
67,GA,313873.0,2558482.0,2872355.0,28153.0,,6914.0,28153.0,2872355,2020-09-26,Georgia,33.040619,-83.643074
68,GU,2354.0,46365.0,48719.0,,1668.0,43.0,,48719,2020-09-26,Guam,13.45,144.78
69,HI,11891.0,278076.0,289967.0,787.0,5397.0,127.0,787.0,289967,2020-09-26,Hawaii,21.094318,-157.498337
70,IA,82944.0,667954.0,750898.0,,65490.0,1311.0,,750898,2020-09-26,Iowa,42.011539,-93.210526
71,ID,39757.0,262420.0,298652.0,1795.0,21291.0,458.0,1795.0,302177,2020-09-26,Idaho,44.240459,-114.478828
